,science,name,birth_place,death_place,birth_date,death_date,works,link
788,Физики,Владимир Дмитриевич Кузнецов,Миасский Троицкий империя Российская Оренбургская завод уезд губерния,Томск СССР РСФСР,1887-05-12,1963-10-13,7,"https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%B7%D0%BD%D0%B5%D1%86%D0%BE%D0%B2,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B5%D0%B2%D0%B8%D1%87_(%D1%84%D0%B8%D0%B7%D0%B8%D0%BA,_1887%E2%80%941963)"
789,Физики,Владимир Дмитриевич Кузнецов,СССР РСФСР Куйбышев,,1954-09-23,,0,"https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%B7%D0%BD%D0%B5%D1%86%D0%BE%D0%B2,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B5%D0%B2%D0%B8%D1%87_(%D1%84%D0%B8%D0%B7%D0%B8%D0%BA,_1954)"
790,Физики,Вячеслав Алексеевич Кузнецов,"СССР Нижегородская Бор РСФСР губерния, губерния","СССР Нижегородская Бор РСФСР губерния, губерния",1926,1993,0,"https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%B7%D0%BD%D0%B5%D1%86%D0%BE%D0%B2,_%D0%92%D1%8F%D1%87%D0%B5%D1%81%D0%BB%D0%B0%D0%B2_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
791,Физики,Олег Леонидович Кузнецов,СССР Москва,,1938-08-29,,0,"https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%B7%D0%BD%D0%B5%D1%86%D0%BE%D0%B2,_%D0%9E%D0%BB%D0%B5%D0%B3_%D0%9B%D0%B5%D0%BE%D0%BD%D0%B8%D0%B4%D0%BE%D0%B2%D0%B8%D1%87"
792,Физики,Анатолий Александрович Кузовников,РСФСР Оренбургская Покровский район область,Москва,1922,2004-11-17,2,"https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%B7%D0%BE%D0%B2%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2,_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D0%B8%D0%B9_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
793,Физики,Вадим Алексеевич Кузьмин,СССР Москва,Федерация Москва Российская,1937-04-16,2015-09-17,2,"https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%B7%D1%8C%D0%BC%D0%B8%D0%BD,_%D0%92%D0%B0%D0%B4%D0%B8%D0%BC_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
794,Физики,Игорь Владимирович Кукушкин,Области Красноармейск Московской,,1958-02-20,,0,"https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%BA%D1%83%D1%88%D0%BA%D0%B8%D0%BD,_%D0%98%D0%B3%D0%BE%D1%80%D1%8C_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
795,Физики,Кукушкин Сергей Арсеньевич,Ленинград,,1954,,0,"https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%BA%D1%83%D1%88%D0%BA%D0%B8%D0%BD,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%90%D1%80%D1%81%D0%B5%D0%BD%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
796,Физики,Иван Юрьевич Кулаков,СССР Россия СССР Россия,,1967-07-15,,0,"https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%BB%D0%B0%D0%BA%D0%BE%D0%B2,_%D0%98%D0%B2%D0%B0%D0%BD_%D0%AE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
797,Физики,Владимир Дмитриевич Кулаковский,СССР Россия СССР Россия,,1946-10-16,,0,"https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%BB%D0%B0%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B5%D0%B2%D0%B8%D1%87"
