,science,name,birth_place,death_place,birth_date,death_date,works,link
146,Психологи,Пьер Жане,Париж Франция,Париж Франция,1859-05-30,1947-02-24,4,"https://ru.wikipedia.org/wiki/%D0%96%D0%B0%D0%BD%D0%B5,_%D0%9F%D1%8C%D0%B5%D1%80"
147,Психологи,Михаэл Жантовский,Прага Чехословакия,,1949-01-03,,0,"https://ru.wikipedia.org/wiki/%D0%96%D0%B0%D0%BD%D1%82%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%9C%D0%B8%D1%85%D0%B0%D1%8D%D0%BB"
148,Психологи,Ждан Антонина Николаевна,Московская Шатура область,,1934-05-10,,0,"https://ru.wikipedia.org/wiki/%D0%96%D0%B4%D0%B0%D0%BD,_%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%B8%D0%BD%D0%B0_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%BD%D0%B0"
149,Психологи,Анатолий Лактионович Журавлёв,СССР РСФСР Петровский Новые Ключи Куйбышевская район область,,1948,,10,"https://ru.wikipedia.org/wiki/%D0%96%D1%83%D1%80%D0%B0%D0%B2%D0%BB%D1%91%D0%B2,_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D0%B8%D0%B9_%D0%9B%D0%B0%D0%BA%D1%82%D0%B8%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
150,Психологи,Юрий Михайлович Забродин,СССР Ленинград,,1940-10-26,,1,"https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D0%B1%D1%80%D0%BE%D0%B4%D0%B8%D0%BD,_%D0%AE%D1%80%D0%B8%D0%B9_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
151,Психологи,Владимир Юрьевич Завьялов,Омск,,1948,,11,"https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D0%B2%D1%8C%D1%8F%D0%BB%D0%BE%D0%B2,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%AE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
152,Психологи,Роберт Зайонц,Польша Лодзь,Калифорния Станфорд США,1923-11-23,2008,0,"https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D0%B9%D0%BE%D0%BD%D1%86,_%D0%A0%D0%BE%D0%B1%D0%B5%D1%80%D1%82"
153,Психологи,Снежана Замалиева,СССР РСФСР Ленинград,,1975-01-13,,27,"https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D0%BC%D0%B0%D0%BB%D0%B8%D0%B5%D0%B2%D0%B0,_%D0%A1%D0%BD%D0%B5%D0%B6%D0%B0%D0%BD%D0%B0_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%BD%D0%B0"
154,Психологи,Леонид Владимирович Занков,Империя Варшава Российская,СССР Москва,1901,1977-11-27,5,"https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D0%BD%D0%BA%D0%BE%D0%B2,_%D0%9B%D0%B5%D0%BE%D0%BD%D0%B8%D0%B4_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
155,Психологи,Александр Владимирович Запорожец,Киев империя Российская,СССР Москва,1905,1981-10-07,9,"https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D0%BF%D0%BE%D1%80%D0%BE%D0%B6%D0%B5%D1%86,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
156,Психологи,Блюма Вульфовна Зейгарник,Сувалкская Царство империя Российская Пренай Польское губерния,СССР Москва,1900,1988-02-24,12,"https://ru.wikipedia.org/wiki/%D0%97%D0%B5%D0%B9%D0%B3%D0%B0%D1%80%D0%BD%D0%B8%D0%BA,_%D0%91%D0%BB%D1%8E%D0%BC%D0%B0_%D0%92%D1%83%D0%BB%D1%8C%D1%84%D0%BE%D0%B2%D0%BD%D0%B0"
157,Психологи,Филип Зимбардо,США Нью-Йорк,,1933-03-23,,8,"https://ru.wikipedia.org/wiki/%D0%97%D0%B8%D0%BC%D0%B1%D0%B0%D1%80%D0%B4%D0%BE,_%D0%A4%D0%B8%D0%BB%D0%B8%D0%BF"
158,Психологи,Владимир Петрович Зинченко,УССР СССР Харьков,Россия Москва,1931-08-10,2014,45,"https://ru.wikipedia.org/wiki/%D0%97%D0%B8%D0%BD%D1%87%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
159,Психологи,Пётр Иванович Зинченко,Империя Российская Николаевская уезд Астраханская Царёвский губерния,Украинская СССР Харьков ССР,1903,1969-02-17,6,"https://ru.wikipedia.org/wiki/%D0%97%D0%B8%D0%BD%D1%87%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%9F%D1%91%D1%82%D1%80_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
160,Психологи,Татьяна Петровна Зинченко,Харьков,Санкт-Петербург,1939-04-24,2001,3,"https://ru.wikipedia.org/wiki/%D0%97%D0%B8%D0%BD%D1%87%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%A2%D0%B0%D1%82%D1%8C%D1%8F%D0%BD%D0%B0_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%BD%D0%B0"
161,Психологи,Юрий Петрович Зинченко,Краснодар,,1966-12-23,,0,"https://ru.wikipedia.org/wiki/%D0%97%D0%B8%D0%BD%D1%87%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%AE%D1%80%D0%B8%D0%B9_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
