,science,name,birth_place,death_place,birth_date,death_date,works,link
58,Статистики,Александр Петрович Орлов,Империя Российская Пензенская Инсар губерния,Империя Казань Российская,1840,1889-04-03,0,"https://ru.wikipedia.org/wiki/%D0%9E%D1%80%D0%BB%D0%BE%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
59,Статистики,Сергей Сергеевич Остроумов,Империя Москва Российская,СССР Москва,1909,1979-03-19,18,"https://ru.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D0%BE%D1%83%D0%BC%D0%BE%D0%B2,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
60,Статистики,"Патканов, Серафим Керопович",,,,,0,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D1%82%D0%BA%D0%B0%D0%BD%D0%BE%D0%B2,_%D0%A1%D0%B5%D1%80%D0%B0%D1%84%D0%B8%D0%BC_%D0%9A%D0%B5%D1%80%D0%BE%D0%BF%D0%BE%D0%B2%D0%B8%D1%87"
61,Статистики,Марианна Яновна Пенская,СССР РСФСР Пермь,,1959-06-16,,0,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D0%BD%D1%81%D0%BA%D0%B0%D1%8F,_%D0%9C%D0%B0%D1%80%D0%B8%D0%B0%D0%BD%D0%BD%D0%B0_%D0%AF%D0%BD%D0%BE%D0%B2%D0%BD%D0%B0"
62,Статистики,Альвин Петерсилие,Германия,Германия,1847-11-01,1916,0,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D1%81%D0%B8%D0%BB%D0%B8%D0%B5,_%D0%90%D0%BB%D1%8C%D0%B2%D0%B8%D0%BD"
63,Статистики,Чарльз Сандерс Пирс,Массачусетс США Кембридж,США Пенсильвания Милфорд,1839-09-10,1914-04-19,6,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B8%D1%80%D1%81,_%D0%A7%D0%B0%D1%80%D0%BB%D1%8C%D0%B7_%D0%A1%D0%B0%D0%BD%D0%B4%D0%B5%D1%80%D1%81"
64,Статистики,Карл Пирсон,Лондон Великобритания,Суррей Великобритания,1857-03-27,1936-04-27,13,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B8%D1%80%D1%81%D0%BE%D0%BD,_%D0%9A%D0%B0%D1%80%D0%BB"
65,Статистики,Эгон Пирсон,Хампстед Лондон,Суссекс Западный Великобритания Англия,1895-08-11,1980-06-12,0,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B8%D1%80%D1%81%D0%BE%D0%BD,_%D0%AD%D0%B3%D0%BE%D0%BD_%D0%A8%D0%B0%D1%80%D0%BF"
66,Статистики,Уильям Плейфэр,Шотландия Королевство Великобритания Данди,Большой Лондон Англия Вестминстер Великобритания Ковент-Гарден,1759-09-22,1823-02-11,4,"https://ru.wikipedia.org/wiki/%D0%9F%D0%BB%D0%B5%D0%B9%D1%84%D1%8D%D1%80,_%D0%A3%D0%B8%D0%BB%D1%8C%D1%8F%D0%BC"
67,Статистики,Василий Иванович Покровский,Империя Ржевский Российская уезд Тверская губерния,Петроград империя Российская,1838-12-21,1915,0,"https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D0%B8%D0%B9_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
